Date,Open,High,Low,Close,Adj Close ,Volume
"Aug 20, 2024",421.7,425.86,421.64,424.8,423.1,16387600
"Aug 19, 2024",418.96,421.75,416.46,421.53,419.85,15234000
"Aug 16, 2024",420.6,421.34,417.3,418.47,416.8,22775600
"Aug 15, 2024",419.8,421.11,417.66,421.03,419.35,20752100
"Aug 14, 2024",414.8,417.72,412.45,416.86,414.45,18267000
"Aug 13, 2024",409.59,414.95,409.57,414.01,411.61,19414300
"Aug 12, 2024",407.06,408.76,404.24,406.81,404.46,16762900
"Aug 9, 2024",404.03,408.05,402.26,406.02,403.67,19276700
"Aug 8, 2024",402.44,405.86,399.94,402.69,400.36,20203000
"Aug 7, 2024",408.64,410.08,397.47,398.43,396.12,20650900
"Aug 6, 2024",400,405.67,398.5,399.61,397.3,24946500
"Aug 5, 2024",389.17,401.04,385.58,395.15,392.86,40709200
"Aug 2, 2024",412.49,415,404.34,408.49,406.13,29437900
"Aug 1, 2024",420.79,427.46,413.09,417.11,414.7,30296400
"Jul 31, 2024",420.5,421.78,412.21,418.35,415.93,42891400
"Jul 30, 2024",427.72,429.05,417.36,422.92,420.47,32687600
"Jul 29, 2024",431.58,432.15,424.7,426.73,424.26,15125800
"Jul 26, 2024",418.2,428.92,417.27,425.27,422.81,23583800
"Jul 25, 2024",428.8,429.8,417.51,418.4,415.98,29943800
"Jul 24, 2024",440.45,441.48,427.59,428.9,426.42,26805800
"Jul 23, 2024",443.9,448.39,443.1,444.85,442.28,13107100
"Jul 22, 2024",441.79,444.6,438.91,442.94,440.38,15808800
"Jul 19, 2024",433.1,441.14,432,437.11,434.58,20940400
"Jul 18, 2024",444.34,444.65,434.4,440.37,437.82,20794800
"Jul 17, 2024",442.59,444.85,439.18,443.52,440.95,21778000
"Jul 16, 2024",454.22,454.3,446.66,449.52,446.92,17175700
"Jul 15, 2024",453.3,457.26,451.43,453.96,451.33,14429400
"Jul 12, 2024",454.33,456.36,450.65,453.55,450.93,16324300
"Jul 11, 2024",462.98,464.78,451.55,454.7,452.07,23111200
"Jul 10, 2024",461.22,466.46,458.86,466.25,463.55,18196100
"Jul 9, 2024",467,467.33,458,459.54,456.88,17207200
"Jul 8, 2024",466.55,467.7,464.46,466.24,463.54,12962300
"Jul 5, 2024",459.61,468.35,458.97,467.56,464.85,16000300
